CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634646,Smith_44,813,Spain,Female,37,6,63640.359744601126,1,1,1,148075.97942135413,0
15634647,Smith_45,620,France,Female,41,9,80094.92946823998,1,1,1,85122.69043822655,0
15634648,Smith_46,539,Germany,Female,50,2,67716.83423829818,2,0,0,139365.84627504065,1
15634649,Smith_47,795,Spain,Male,41,1,57336.70416719333,3,1,0,43056.314636436604,0
15634650,Smith_48,524,Germany,Female,69,8,12850.035323391017,1,0,1,116393.75725126198,0
15634651,Smith_49,795,Germany,Female,28,7,81120.4176736003,1,0,1,84377.20555629476,0
15634652,Smith_50,400,France,Female,66,9,82063.94757439554,2,0,0,110872.24859480507,1
15634653,Smith_51,713,Germany,Male,25,6,62593.96701015728,1,0,1,18727.790751573804,0
15634654,Smith_52,404,France,Male,53,8,82042.6843771268,3,0,1,30683.472866871736,0
15634655,Smith_53,593,Germany,Male,55,3,65148.4771857788,3,1,0,28636.370002246957,1
15634656,Smith_54,669,Spain,Male,57,3,20668.435987674537,1,0,1,106203.17075646635,0
15634657,Smith_55,480,Germany,Female,37,0,27396.112732113375,1,1,1,128221.69416870803,0
15634658,Smith_56,834,France,Female,52,7,21458.911970837413,2,1,0,114946.27248120224,0
15634659,Smith_57,656,France,Male,65,2,37725.908322797586,3,0,0,14266.101382703182,1
15634660,Smith_58,484,Spain,Female,42,6,3896.3132310233627,3,0,0,131410.09735046126,0
15634661,Smith_59,370,Germany,Female,52,1,61825.38843378929,1,1,1,59580.533911037564,0
15634662,Smith_60,678,Germany,Female,42,1,33655.42148887265,2,0,0,65602.93655057155,0
15634663,Smith_61,516,Spain,Male,46,6,65572.26353807421,3,0,0,24681.68331454733,0
15634664,Smith_62,623,Germany,Male,35,5,38539.6620965565,3,1,0,113236.72885313467,0
15634665,Smith_63,737,Germany,Female,63,2,68161.36689727897,2,1,0,35519.742986634126,1
15634666,Smith_64,438,France,Male,35,8,34062.456946424005,2,0,0,88955.1128826371,0
15634667,Smith_65,665,Germany,Male,19,9,26069.452823590313,3,1,0,127699.39802291036,0
15634668,Smith_66,363,Germany,Male,52,5,49603.74542934062,3,0,1,22488.606019687868,0
15634669,Smith_67,591,Spain,Male,33,9,69289.03586919393,2,0,1,84946.97896217329,0
15634670,Smith_68,614,Spain,Male,58,9,34833.660445319736,3,0,0,42650.297616972166,0
15634671,Smith_69,695,France,Female,53,5,93664.81518557073,1,1,0,58009.76099895644,0
15634672,Smith_70,402,Germany,Male,50,0,3918.6326675646255,1,1,0,76355.79180027786,0
15634673,Smith_71,735,Germany,Female,21,3,41794.60317155788,2,1,1,59714.602459102665,0
15634674,Smith_72,689,Germany,Female,50,9,96758.05515202475,2,1,1,100835.19764082064,0
15634675,Smith_73,441,France,Male,31,5,54797.18832480873,2,1,1,77141.49424559502,0
15634676,Smith_74,716,France,Female,38,5,42347.094230811854,1,0,1,91787.9278599837,0
15634677,Smith_75,793,Spain,Female,65,4,56852.02837499583,3,0,1,113155.1465552878,0
15634678,Smith_76,804,France,Female,37,0,57592.45752580846,1,0,1,88083.91723306123,0
15634679,Smith_77,777,Germany,Male,25,7,73164.77552996403,3,0,1,92114.96085250626,0
15634680,Smith_78,613,Germany,Male,24,4,12768.972942246559,1,1,1,89024.19595316978,0
15634681,Smith_79,780,France,Female,20,4,25001.644921610467,3,0,1,63028.16763318051,1
15634682,Smith_80,384,Germany,Male,34,6,58054.401234390985,1,1,0,57242.55674206853,0
15634683,Smith_81,555,Germany,Male,50,3,86711.6607209722,2,0,0,135950.63560030173,0
15634684,Smith_82,430,France,Male,65,5,56186.66921437736,1,1,0,95057.7311211002,0
15634685,Smith_83,769,France,Male,29,3,23859.685979034017,3,1,0,44209.44176505163,1
15634686,Smith_84,399,Germany,Female,68,2,67984.47799002458,1,0,1,79754.67769885162,0
15634687,Smith_85,709,Germany,Female,39,6,73990.87604473745,1,0,1,56248.78737932796,0
15634688,Smith_86,737,Germany,Male,39,7,23823.615240397943,1,0,0,140716.85532638244,0
15634689,Smith_87,351,Spain,Male,63,3,37772.88861762948,2,0,1,11054.810838770463,0
15634690,Smith_88,739,Spain,Female,47,1,53432.747353056344,1,1,0,41546.591679753954,0
15634691,Smith_89,403,Spain,Female,55,9,49656.119068307766,2,0,1,61149.95475436807,0
15634692,Smith_90,455,France,Male,55,2,38961.80862192035,2,0,0,78293.3721132233,0
15634693,Smith_91,609,Spain,Female,62,0,29763.51745093109,1,1,1,129114.45249706047,0
15634694,Smith_92,659,France,Male,68,7,9998.488716186337,1,0,1,22304.267435620142,0
15634695,Smith_93,826,France,Male,25,2,5348.52967473689,1,0,0,122821.08414376008,0
15634696,Smith_94,540,Spain,Female,44,9,95854.14968831983,3,0,1,17791.488509976545,0
15634697,Smith_95,751,Spain,Female,44,6,84714.31440955898,1,0,0,127923.96494174542,0
15634698,Smith_96,567,Spain,Male,51,9,35490.519046272064,2,0,0,17228.9669024318,0
15634699,Smith_97,393,Germany,Male,38,4,95680.08851264563,1,1,0,12553.947399970546,0
15634700,Smith_98,511,Spain,Female,47,9,67676.99044243032,3,0,0,107574.60473129901,0
15634701,Smith_99,551,Germany,Male,50,4,48252.094964264244,1,0,1,149615.7748675752,0
